what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.ide",1266386180033
started,bundle,org.eclipse.ui.net,1.2.0.I20090430-0408,"org.eclipse.ui.net",1266386180034
started,bundle,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views",1266386180035
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1266386180036
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1266386180038
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1266386180038
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1266386180059
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1266386180060
os,sysinfo,,,"win32",1266386180064
arch,sysinfo,,,"x86",1266386180064
ws,sysinfo,,,"win32",1266386180064
locale,sysinfo,,,"en_US",1266386180064
processors,sysinfo,,,"2",1266386180064
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1266386180064
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1266386180064
java.specification.name,sysinfo,,,"Java Platform API Specification",1266386180064
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1266386180064
java.specification.version,sysinfo,,,"1.6",1266386180064
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1266386180064
java.version,sysinfo,,,"1.6.0_17",1266386180064
java.vm.info,sysinfo,,,"mixed mode, sharing",1266386180064
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1266386180064
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1266386180064
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1266386180064
java.vm.specification.version,sysinfo,,,"1.0",1266386180064
