what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.5.0.I20090525-2000,"org.eclipse.ui.ide",1271088332847
started,bundle,org.eclipse.ui.net,1.2.0.I20090430-0408,"org.eclipse.ui.net",1271088332849
started,bundle,org.eclipse.ui.views,3.4.0.I20090525-2000,"org.eclipse.ui.views",1271088332851
started,bundle,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"org.eclipse.ui.workbench",1271088332853
started,bundle,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.workbench.texteditor",1271088332856
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1271088332857
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1271088332883
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1271088332884
os,sysinfo,,,"win32",1271088332894
arch,sysinfo,,,"x86",1271088332894
ws,sysinfo,,,"win32",1271088332894
locale,sysinfo,,,"en_US",1271088332894
processors,sysinfo,,,"2",1271088332894
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1271088332894
java.runtime.version,sysinfo,,,"1.6.0_18-b07",1271088332894
java.specification.name,sysinfo,,,"Java Platform API Specification",1271088332894
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1271088332894
java.specification.version,sysinfo,,,"1.6",1271088332894
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1271088332894
java.version,sysinfo,,,"1.6.0_18",1271088332894
java.vm.info,sysinfo,,,"mixed mode, sharing",1271088332894
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1271088332894
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1271088332894
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1271088332894
java.vm.specification.version,sysinfo,,,"1.0",1271088332894
